ano,regiao,localizacao,rede,taxa_promocao_ef,taxa_promocao_ef_anos_iniciais,taxa_promocao_ef_anos_finais,taxa_promocao_ef_1_ano,taxa_promocao_ef_2_ano,taxa_promocao_ef_3_ano,taxa_promocao_ef_4_ano,taxa_promocao_ef_5_ano,taxa_promocao_ef_6_ano,taxa_promocao_ef_7_ano,taxa_promocao_ef_8_ano,taxa_promocao_ef_9_ano,taxa_promocao_em,taxa_promocao_em_1_ano,taxa_promocao_em_2_ano,taxa_promocao_em_3_ano,taxa_repetencia_ef,taxa_repetencia_ef_anos_iniciais,taxa_repetencia_ef_anos_finais,taxa_repetencia_ef_1_ano,taxa_repetencia_ef_2_ano,taxa_repetencia_ef_3_ano,taxa_repetencia_ef_4_ano,taxa_repetencia_ef_5_ano,taxa_repetencia_ef_6_ano,taxa_repetencia_ef_7_ano,taxa_repetencia_ef_8_ano,taxa_repetencia_ef_9_ano,taxa_repetencia_em,taxa_repetencia_em_1_ano,taxa_repetencia_em_2_ano,taxa_repetencia_em_3_ano,taxa_evasao_ef,taxa_evasao_ef_anos_iniciais,taxa_evasao_ef_anos_finais,taxa_evasao_ef_1_ano,taxa_evasao_ef_2_ano,taxa_evasao_ef_3_ano,taxa_evasao_ef_4_ano,taxa_evasao_ef_5_ano,taxa_evasao_ef_6_ano,taxa_evasao_ef_7_ano,taxa_evasao_ef_8_ano,taxa_evasao_ef_9_ano,taxa_evasao_em,taxa_evasao_em_1_ano,taxa_evasao_em_2_ano,taxa_evasao_em_3_ano,taxa_migracao_eja_ef,taxa_migracao_eja_ef_anos_iniciais,taxa_migracao_eja_ef_anos_finais,taxa_migracao_eja_ef_1_ano,taxa_migracao_eja_ef_2_ano,taxa_migracao_eja_ef_3_ano,taxa_migracao_eja_ef_4_ano,taxa_migracao_eja_ef_5_ano,taxa_migracao_eja_ef_6_ano,taxa_migracao_eja_ef_7_ano,taxa_migracao_eja_ef_8_ano,taxa_migracao_eja_ef_9_ano,taxa_migracao_eja_em,taxa_migracao_eja_em_1_ano,taxa_migracao_eja_em_2_ano,taxa_migracao_eja_em_3_ano
2021,Sudeste,Urbana,Total,96.9,97.7,95.9,97.2,97.8,97.9,98.2,97.4,96.2,96.3,96.4,94.5,90.6,88.1,90.2,95,1.4,1.3,1.6,1.7,1.3,1.3,1,1.1,2,1.6,1.3,1.4,2.7,3.8,2,2,1.5,1,2.1,1.1,0.9,0.8,0.8,1.5,1.5,1.6,1.8,3.7,5.2,6.3,5.9,2.6,0.2,0,0.4,0,0,0,0,0,0.3,0.5,0.5,0.4,1.5,1.8,1.9,0.4
2021,Sudeste,Total,Total,96.8,97.6,95.8,97.2,97.8,97.8,98.1,97.3,96.2,96.3,96.4,94.3,90.6,88.1,90.2,95,1.4,1.3,1.6,1.7,1.3,1.3,1.1,1.1,2,1.6,1.3,1.4,2.7,3.8,2.1,2,1.5,1.1,2.2,1.1,0.9,0.9,0.8,1.5,1.6,1.6,1.8,3.9,5.2,6.3,5.9,2.6,0.3,0,0.4,0,0,0,0,0.1,0.2,0.5,0.5,0.4,1.5,1.8,1.8,0.4
2021,Centro-Oeste,Urbana,Total,94.7,95.8,93.4,96.2,96,95.1,96.4,95.4,94.6,93.5,94,91.3,87.1,84,86.4,92.9,2.7,2.5,2.8,2.1,2.4,3.3,2.3,2.2,2.7,3.4,2.4,3,5.2,6.4,4.1,4.6,2.4,1.7,3.3,1.7,1.6,1.6,1.3,2.3,2.5,2.6,2.9,5.2,6.3,8,7.8,2,0.2,0,0.5,0,0,0,0,0.1,0.2,0.5,0.7,0.5,1.4,1.6,1.7,0.5
2020,Sul,Total,Total,91.2,94.4,87.2,98,95.8,90.2,94.1,94.4,86.5,86,87.6,88.9,81.7,74.7,82.9,91,6.7,4.8,9,1.3,3.5,9,5.1,4.5,10.8,10.4,8.2,6,9,14.3,7.2,3.2,1.6,0.8,2.6,0.7,0.7,0.8,0.8,1,1.8,2.1,2.4,4,8.2,9.6,8.7,5.3,0.5,0,1.2,0,0,0,0,0.1,0.9,1.5,1.8,1.1,1.1,1.4,1.2,0.5
2020,Sul,Urbana,Total,91.2,94.5,87.2,98,95.8,90.3,94.2,94.4,86.5,86,87.6,89,81.6,74.5,82.7,90.9,6.7,4.7,9,1.4,3.5,8.9,5,4.4,10.8,10.4,8.3,6.1,9.1,14.3,7.3,3.2,1.5,0.8,2.5,0.6,0.7,0.8,0.8,1,1.8,2.1,2.4,3.8,8.2,9.7,8.7,5.4,0.6,0,1.3,0,0,0,0,0.2,0.9,1.5,1.7,1.1,1.1,1.5,1.3,0.5
2020,Nordeste,Rural,Total,85.7,88.8,80.8,95.4,95,84.1,86,85.7,77.6,80.9,83.7,82.2,81.4,75.2,81.3,90.6,9.8,9.2,10.8,3.3,3.8,14.3,12,10.4,15.8,11.5,8.3,5.4,8,11.3,6.7,4.6,3.1,1.7,5.4,1.3,1.2,1.4,1.7,2.9,4,4.2,4.9,9.6,8.8,10.5,10.4,4.4,1.4,0.3,3,0,0,0.2,0.3,1,2.6,3.4,3.1,2.8,1.8,3,1.6,0.4
2020,Nordeste,Urbana,Total,88.1,91.7,83.9,94.8,95.2,88.5,90.6,90.5,81.2,82.5,85.7,87.2,82.5,76,82.5,91.6,7.6,5.9,9.5,2.8,2.8,9.6,7.3,6.1,12.9,10.6,7.7,5.7,8.2,12.1,7,3.9,2.7,2.1,3.4,2.4,2,1.9,1.8,2.6,3.2,3,3,4.7,6.9,8,8,3.9,1.6,0.3,3.2,0,0,0,0.3,0.8,2.7,3.9,3.6,2.4,2.4,3.9,2.5,0.6
2020,Norte,Urbana,Total,89,91.7,85.5,96.6,95.9,86.3,90.9,90.3,84.4,84.1,87.6,86.4,77.9,72.3,78,86,7.5,6.7,8.5,2,3,12.4,7.7,7.1,10.9,9.2,6.5,6.7,10,14,8.9,5.4,2.1,1.4,3,1.4,1.1,1.2,1.2,1.8,2.5,2.8,2.6,4.4,9.6,10.3,10.4,7.8,1.4,0.2,3,0,0,0.1,0.2,0.8,2.2,3.9,3.3,2.5,2.5,3.4,2.7,0.8
2021,Centro-Oeste,Total,Total,94.6,95.7,93.2,96.1,95.9,95.1,96.3,95.3,94.6,93.4,93.9,91,87,83.8,86.3,92.7,2.7,2.6,2.9,2.2,2.5,3.4,2.4,2.4,2.7,3.4,2.4,3,5.3,6.6,4.2,4.8,2.4,1.7,3.4,1.7,1.6,1.5,1.3,2.3,2.5,2.6,3,5.4,6.3,7.9,7.7,2,0.3,0,0.5,0,0,0,0,0,0.2,0.6,0.7,0.6,1.4,1.7,1.8,0.5
2020,Sudeste,Total,Total,93.7,96.1,90.7,97.2,97.1,93.5,96.4,96.3,90,90.7,91.2,90.9,85.1,79,84.6,93.6,4.4,3.1,6.1,1.9,2.2,5.8,2.8,2.5,7.7,6.4,5.3,4.8,7.5,12.3,6.4,2.4,1.4,0.8,2.1,0.9,0.7,0.7,0.7,1.1,1.7,1.7,2.1,3.2,5.3,6.5,6.3,2.9,0.5,0,1.1,0,0,0,0.1,0.1,0.6,1.2,1.4,1.1,2.1,2.2,2.7,1.1
